suit,card,prompt1,prompt2
heart,1,Last week you launched a major story. What was it?,
heart,2,,
heart,3,,
heart,4,,
heart,5,,
heart,6,,
heart,7,,
heart,8,,
heart,9,,
heart,10,,
heart,J,,
heart,Q,,
heart,K,,
diamond,1,,
diamond,2,,
diamond,3,,
diamond,4,,
diamond,5,tktk <b>Remove a project die.</b> That project has failed.,
diamond,6,<b>A project finishes early.</b> Say how it finished.,tktk <b>Start a new project.</b>
diamond,7,,
diamond,8,,
diamond,9,,
diamond,10,,
diamond,J,,
diamond,Q,,
diamond,K,,
clubs,1,,
clubs,2,,
clubs,3,,
clubs,4,,
clubs,5,,
clubs,6,,
clubs,7,,
clubs,8,,
clubs,9,,
clubs,10,,
clubs,J,,
clubs,Q,,
clubs,K,,
spades,1,,
spades,2,,
spades,3,,
spades,4,,
spades,5,,
spades,6,,
spades,7,,
spades,8,,
spades,9,,
spades,10,,
spades,J,,
spades,Q,,
spades,K,,
